imageTitle,name,Fandom,dateMade,desc
BoredZero.png,Bored Zero,"Drakengard 3,NieR",22/07/2022,Zero doesn't like working at the office
CatNobara.png,Catgirl Nobara,Jujutsu Kaisen,17/01/2022,You'd think she'd be angry about this
DreadPrime.png,Samus (Dread ver),"Metroid,Nintendo",29/10/2021,"The classic Metroid Prime 3 boxart poses, now with a brand new coat of armour!"
GorouSuit.png,Gorou in a suit,Genshin Impact,19/05/2024,Gorour celebrating his birthday in style
miku.png,sketch miku!,Vocaloid,23/03/2024,"im thinking miku, miku, oooo eeee oooo"
MumeiDebut.png,Mumei's debut,Hololive,21/08/2021,The guardian of civilisation getting ready for her hololive debut
NierAdmins.png,Nier Administrators,NieR,18/09/2021,The Root of all Evil
noponfurby.png,Nopons but Furbies,Xenoblade,22/09/2021,don’t ask… this was a dare….
rein_summer.png,Summertime Reincarnation,"NieR,NieR Re[in]carnation",12/07/2024,Relaxing after a long journey through the cage \nPart of the 2024 DrakeNier Art Exchange! 
rein_the_end.png,The [E]nd of Re[in]carnation,"NieR,NieR Re[in]carnation",30/04/2024,"""It might take a while, but I'll make sure they get there"""
rein_yurie.png,Re[in]carnation Yurie,"NieR,NieR Re[in]carnation",05/04/2024,"""I will destroy any and all incompleteness"""
rein_zero.png,Re[in]Carnation Zero,"Drakengard 3,NieR,NieR Re[in]carnation",18/04/2024,Burning your city to the ground is good stress relief
snowZelda.png,Snowtime Zelda,"Zelda,Nintendo",12/10/2022,It's winter time in Hyrule!
tara_bryck.png,Paranormal Vlogger Tara Bryck,Heart of the Woods,31/03/2024,It's time for your favourite paranormal vlogger: Taranormal!
ThreeIna.png,Ninomae Thr-Ina,"Hololive,Drakengard 3",16/02/2022,Purple mysterious hololive member dressing as a purple mysterious Intoner
vallHalla.png,Closing time at Va-11 Ha-11-A,Va-11 Ha-11-A,08/05/2022,Jill and Dana relaxing after a long night
ZhongQiuTea.png,Zhongli and Xingqui's Teatime,Genshin Impact,08/04/2022,Two Liyue book nerds enjoying tea together
jojo_nier.png,Jolyne in 2B's outfit,"Jojo's Bizarre Adventure,NieR",31/12/2020,Did you know they share a voice actor?
bort.png,Bort,Houseki no Kuni,16/12/2020,Please watch or read Houseki no Kuni I'm begging you
cinnabar.png,Cinnabar,Houseki no Kuni,03/12/2020,Please watch or read Houseki no Kuni I'm begging you
makima_wendys.png,Makima shift at Wendy's,Chainsaw Man,07/10/2021,Her normal clothes are in the wash…. Or something….
